vol,honbun_seg
000,世に宇治大納言物語といふものあり/この大納言は隆国といふ人なり/西宮殿の孫/俊賢大納言の第二の男なり/年高うなりては/暑さをわびて/暇を申して/五月より八月までは/平等院一切経蔵の南の山ぎはに/南泉房といふ所にこもり居られけり/さて/宇治大納言とは聞こえけり/髻を結ひ曲げて/□□□□□/筵を板に敷きて/□□□□□□□□/大きなる打輪を/□□□□□□□□□□□□□/上中下をいはず/昔物語をせさせて/われは内にそひ臥して/語るにしたがひて/大きなる双紙に書かれけり/天竺の事もあり/大唐の事もあり/日本の事もあり/それがうちに/貴き事もあり/をかしき事もあり/恐しき事もあり/あはれなる事もあり/汚なき事もあり/少々はそら物語もあり/利口なる事もあり/さまざま様々なり/世の人/これを興じ見る/十四帖なり/その正本は伝はりて/侍従俊貞といひし人のもとにぞありける/いかになりにけるにか/後に/さかしき人々書き入れたるあひだ/物語多くなれり/大納言より後のこと/書き入れたる本もあるにこそ/さるほどに/今の世に/また物語書き入れたる出で来たれり/大納言の物語に漏れたるを拾ひ集め/またその後のことなど書き集めたるなるべし/名を宇治拾遺の物語といふ//宇治に遺れるを拾ふ/と付けたるにや/また/侍従を拾遺といへば/侍従大納言侍るを学びて/□□といふ事しりかたし□□□□□にや/おぼつかなし/
001,今は昔/道命阿闍梨とて/傅殿の子に/色にふけりたる僧ありけり/和泉式部に通ひけり/経をめでたく読みけり/それが/和泉式部がり行きて/臥したりけるに/目覚めて/経を心を澄まして読みけるほどに/八巻読み果てて/暁にまどろまんとするほどに/人の気配のしければ//あれは誰ぞ/と問ひければ//おのれは/五条西洞院の辺に候ふ翁に候ふ/と答へければ//こは何事ぞ/と/道命言ひければ//この御経を今宵承はりぬることの/世々生々忘れがたく候ふ/と言ひければ/道命//法華経を読み奉ることは常のことなり/など/今宵しも言はるるぞ/と言ひければ/五条の斎いはく//清くて読み参らせ給ふ時は/梵天/帝釈を始め奉りて/聴聞せさせ給へば/翁などは近付き参りて/承はるに及び候はず/今宵は/御行水も候はで/読み奉らせ給へば/梵天/帝釈も御聴聞候はぬひまにて/翁参り寄りて/承はりさぶらひぬることの/忘れがたく候ふなり/とのたまひけり/されば/はかなく/さい読み奉るとも/清くて読み奉るべきことなり//念仏/読経/四威儀を破ることなかれ/と/恵心の御房も戒め給ふにこそ/
002,これも今は昔/丹波国篠村といふ所に/年ごろ/平茸やるかたもなく多かりけり/里村の者/これを取りて/人にも心ざし/また/われも食ひなどして/年ごろ過ぐるほどに/その里にとりてむねとあるものの夢に/頭おつかみなる法師どもの/二/三十人ばかり出できて//申すべきこと候ふ/と言ひければ//いかなる人ぞ/と問ふに//この法師ばらは/この年ごろ候ひて/宮仕ひよくして候ひつるが/この里の縁尽きて/いまはよそへまかりなんずることの/かつはあはれにも候ふ/また//ことのよしを申さでは/と思ひて/このよしを申すなり/と言ふと見て/うちおどろきて//こは何事ぞ/と/妻や子やなどに語るほどに/また/その里の人の夢にも/この定に見えたり/とて/あまた同様に語れば/心も得で/年も暮れぬ/さて/次の年の九/十月にもなりぬるに/前々出で来るほどなれば/山に入りて茸を求むるほどに/すべて/蔬おほかた見えず//いかなることにか/と/里国の者/思ひて過ぐるほどに/故仲胤僧都とて/説法並びなき人いましけり/このことを聞きて//こはいかに//不浄説法する法師/平茸に生まる/といふことのあるものを/とのたまひてけり/されば/いかにもいかにも/平茸は食はざらんに事欠くまじきものなり/とぞ/
003,これも今は昔/右の顔に大きなる瘤ある翁ありけり/大柑子のほどなり/人にまじるに及ばねば/薪を取りて世を過ぐるほどに/山へ行きぬ/雨風はしたなくて/帰るに及ばで/山の中に/心にもあらず泊りぬ/また/樵夫もなかりけり/恐しさ/すべき方なし/木のうつほのありけるに/這い入りて/目も合はず/屈まりて居たるほどに/遥かより人の音多くして/とどめき来る音す/いかにも/山の中にただ一人居たるに/人の気配のしければ/少し生き出づる心地して/見出だしければ/おほかた/やうやう様々なる者ども/赤き色には青き物を着/黒き色には赤き物を褌にかき/おほかた/目一つある者あり/口なき者など/おほかた/いかにも言ふべきにもあらぬ者ども/百人ばかり/ひしめき集まりて/火を天の目のごとくに灯して/わが居たるうつほ木の前に居回りぬ/おほかた/いとどもの思えず/むねとあると見ゆる鬼/横座に居たり/うらうへに二並びに居なみたる鬼/数を知らず/その姿/おのおの言ひ尽しがたし/酒参らせ/遊ぶありさま/この世の人のする定なり/たびたび土器始まりて/むねとの鬼/ことのほかに酔ひたるさまなり/末より若き鬼/一人立ちて/折敷をかざして/何と言ふにか/口説きくせせることを言ひて/横座の鬼の前にねり出でて/口説くめり/横座の鬼/盃を左の手に持ちて/笑みこだれたるさま/ただこの世の人のごとし/舞ひて入りぬ/次第に下より舞ふ/悪しく/良く舞ふもあり//あさまし/と見るほどに/この横座に居たる鬼の言ふやう//今宵の御遊びこそ/いつにもすぐれたれ/ただし/さもめづらしからん奏でを見ばや/など言ふに/この翁/物の付きたりけるにや/また/しかるべく神仏の思はせ給ひけるにや//あはれ/走り出でて舞はばや/と思ふを/一度は思返しつ/それに/何となく/鬼どもが打ち上げたる拍子の/良げに聞こえければ//さもあれ/ただ走り出でて舞ひてん/死なば/さてありなん/と思ひ取りて/木のうつほより/烏帽子は鼻に垂れかけたる翁の/腰に斧といふ木切る物差して/横座の鬼の居たる前に踊り出でたり/この鬼ども/踊り上りて//こは何ぞ/と騒ぎあへり/翁/伸び上り/屈まりて/舞ふべきかぎり/すじりもじり/えい声を出だして/一庭を走り回り舞ふ/横座の鬼より始めて/集り居たる鬼ども/あさみ/興ず/横座の鬼のいはく/多くの年ごろ/この遊びをしつれども/いまだかかるものにこそ会はざりつれ/今よりこの翁/かやうの御遊びに必ず参れ/と言ふ/翁/申すやう//沙汰に及び候はず/参り候ふべし/このたびは俄にて/納めの手も忘れ候ひにたり/かやうに御覧にかなひ候はば/静かにつかうまつり候はん/と言ふ/横座の鬼//いみじく申したり/必ず参るべきなり/と言ふ/奥の座の三番に居たる鬼//この翁は/かくは申し候へども/参らぬことも候はむずらんと思え候ふに/質をや取らるべく候ふらむ/と言ふ/横座の鬼//しかるべし/しかるべし/と言ひて//何をかとるべき/と/おのおの言ひ沙汰するに/横座の鬼の言ふやう//かの翁がつらにある/瘤をや取るべき/瘤は福の物なれば/それをぞ惜しみ思ふらむ/と言ふに/翁が言ふやう//ただ目鼻をば召すとも/この瘤は許し給ひ候はむ/年ごろ持ちて候ふ物を/ゆゑなく召されむ/ずちなきことに候ひなん/と言へば/横座の鬼//かう惜しみ申す物なり/ただそれを取るべし/と言へば/鬼/寄りて/さは/取るぞ/とて/ねじて引くに/おほかた痛きことなし/さて//必ず/このたびの御遊びに参るべし/とて/暁に鳥など鳴きぬれば/鬼ども帰りぬ/翁/顔を探るに/年ごろありし瘤/跡形もなく/かいのごひたるやうに/つやつやなかりければ/木こらんことも忘れて/家に帰りぬ/妻の姥//こは/いかなりつることぞ/と問へば//しかじか/と語る//あさましきことかな/と言ふ/隣にある翁/左の顔に大なる瘤ありけるが/この翁/瘤の失せたるを見て/こはいかにして瘤は失せさせ給ひたるぞ/いづこなる医師の取り申したるぞ/われに伝へ給へ/この瘤取らん/と言ひければ//これは医師の取りたるにもあらず/しかじかのことありて/鬼の取りたるなり/と言ひければ//われ/その定にして取らん/とて/事の次第を細かに問ひければ/教へつ/この翁/言ふままにして/その木のうつほに入りて/待ちければ/まことに聞くやうにして/鬼ども出で来たり/居回りて/酒飲み/遊びて//いづら/翁は参りたるか/と言ひければ/この翁//恐し/と思ひながら/ゆるぎ出でたれば/鬼ども//ここに翁参りて候ふ/と申せば/横座の鬼//こち参れ/とく舞へ/と言へば/前の翁よりは/天骨もなく/おろおろ奏でたりければ/横座の鬼//このたびは悪く舞ひたり/かへすがへす悪し/その取りたりし質の瘤/返し賜べ/と言ひければ/末つ方より鬼出で来て/質の瘤/返し賜ぶぞ/とて/いま片々の顔に投げ付けたりければ/うらうへに瘤付きたる翁にこそなりたりけれ/ものうらやみは/すまじきことなりとぞ/
004,これも今は昔/伴大納言善男は佐渡国郡司が従者なり/彼の国にて/善男/夢に見るやう//西大寺と東大寺とを/跨ぎて立ちたり/と見て/妻の女に/このよしを語る/妻のいはく//そこの股こそ裂かれんずらめ/と合はするに/善男/驚きて//よしなきことを語りてけるかな/と恐れ思ひて/主の郡司が家へ行き向ふ所に/郡司/極めたる相人なりけるが/日ごろはさもせぬに/ことのほかに饗応して/円座取り出で/迎ひて召しのぼせければ/善男/怪しみをなして//われをすかしのぼせて/妻の言ひつるやうに/股など裂かんずるやらん/と恐れ思ふほどに/郡司がいはく//なんぢ/やむごとなき高相の夢見てけり/それに/よしなき人に語りてけり/かならず大位には至るとも/こと出で来て/罪をかぶらんぞ/と言ふ/しかるあひだ/善男/縁につきて/京上りして/大納言に至る/されども/なほ/罪をかぶる/郡司が言葉にたがはず/
005,これも今は昔/人のもとに/ゆゆしく/ことごとしく/負斧/法螺貝/腰に付け/錫杖突きなどしたる山臥の/ことごとしげなる入り来て/侍の立蔀の内の小庭に立ちけるを/侍//あれはいかなる御房ぞ/と問ひければ///これは/日ごろ白山に侍りつるが/御嶽へ参りて/今二千日候はんとつかまつるが/時料尽きて侍り/まかりあづからん/と申し上げ給へ/と言ひて立てり/見れば/額/眉の間のほどに/髪際によりて/二寸ばかり疵あり/いまだ生癒えにて赤みたり/侍/問ひて言ふやう//その額の疵は/いかなることぞ/と問ふ/山臥/いと貴と貴としく/声をなして言ふやう/これは随求陀羅尼をこめたるぞ/と答ふ/侍の者ども//ゆゆしきことにこそ侍れ/足/手の指など切りたるは/あまた見ゆれども/額破りて/陀羅尼こめたるこそ/見ゆるとも思えね/と言ひ合ひたるほどに/十七/八ばかりなる小侍の/ふと走り出でて/うち笑みて//あなかたはらいたの法師や/なんでう随求陀羅尼をこめむずるぞ/あれは/七条町に江冠者が家のおほ東にある/鋳物師が妻を/密か密かに/入り臥し入り臥しせしほどに/去年の夏/入り臥したりけるに/男の鋳物師/帰り合ひたりければ/取る物も取りあへず/逃げて西へ走ろしが/冠者が家の前ほどにて/追ひつめられて/さひづゑして額を打ち破られたりしぞかし/冠者も見しは/と言ふを//あさまし/と人ども聞きて/山伏が顔をみれば/少しもことと思ひたる気色もせず/少しまのししたるやうにて//そのついでにこめたるぞ/と/つれなう言ひたる時に/集まれる人ども/一度に//は/と笑ひたるまぎれに/逃げて去にけり/
006,これも今は昔/中納言師時といふ人/おはしけり/その御もとに/ことのほかに色黒き墨染の衣の短かきに/不動袈裟といふ袈裟かけて/木練子の念珠の大きなる/繰り下げたる聖法師/入り来て立てり/中納言//あれは何する僧ぞ/と/尋ねらるるに/ことのほかに声をあはれげになして//仮の世/はかなく候ふを/しのびがたくて/無始よりこのかた/生死に流転するは/せんずる所/煩悩にひかへられて/今にかくて憂き世を出でやらぬにこそ/これを無益なりと思ひとりて/煩悩を切り捨てて/ひとへに//この度/生死の境を出でなん/と思ひとりたる聖人に候ふ/と言ふ/中納言//さて//煩悩を切り捨つる/とは/いかに/と問へば//くは/これを御覧ぜよ/と言ひて/衣の前をかき上げて見すれば/まことにまめやかのはなくて/髭ばかりあり//こは/不思議の事かな/と見給ふほどに/下に下がりたる袋の/ことのほかに思えて//人やある/と呼び給へば/侍/二/三人出で来たり/中納言//その法師/引きはれ/とのたまへば/聖/まのしをして/阿弥陀仏申して/とくとく/いかにもし給へ/と言ひて/あはれげなる顔/気色して/足をうち広げて/おろねぶりたるを/中納言//足を引き広げよ/とのたまへば/二/三人寄りて/引き広げ/さて/小侍の十二/三ばかりなるがあるを召し出でて//あの法師の股の上を/手を広げて上げ下しさすれ/とのたまへば/そのままに/ふくらかなる手して/上げ下しさする/とばかりあるほどに/この聖/まのしをして//今はさておはせ/と言ひけるを/中納言//良げになりにたり/たださすれ/それそれ/とありければ/聖//さま悪しく候ふ/今はさて/と言ふを/あやにくにさすり/ふせけるほどに/毛の中より/松茸の大きやかなる物の/ふらふらと出で来て/腹にすはすはと打ち付けたり/中納言を始めて/そこらに集ひたる者ども/もろ声に笑ふ/聖も手を打ちて/伏しまろび笑ひけり/はやう/まめやか物を/下の袋へひねり入れて/続飯にて毛を取付けて/さりげなくして/人を謀りて/物を乞はんとしたりけるなり/狂惑の法師にてありける/
007,大和国に/竜門といふ所に/聖ありけり/住みける所を名にて/竜門の聖とぞいひける/その聖の親しく知りたりける男の/明け暮れ/鹿を殺しけるに/照射といふことをしけるころ/いみじう暗かりける夜/照射に出でにけり/鹿を求め歩くほどに/目を合はせたりければ//鹿ありけり/とて/押し回し押し回しするに/確かに目を合はせたり/矢ごろに回せ寄りて/火串に引きかけて//矢をはげて射ん/とて/弓ふり立て見るに/この鹿の目の間の/例の鹿の目のあはひよりも近くて/目の色も変りたりければ//あやし/と思ひて/弓を引さして/よく見けるに/なほ怪しかりければ/矢を外して/火を取りて見るに//鹿の目にはあらぬなりけり/と見て//起きば/起きよ/と思ひて/近く回し寄せて/見れば/身は一条の革にてあり//なほ鹿なり/とて/また射んとするに/なほ/目のあらざりければ/ただうちにうち寄せて見るに/法師の頭に見なしつ//こはいかに/と見て/降り走りて/火うちふきて/しひをりとて/見れば/この聖の/目うちたたきて/鹿の皮引きかづきて/そひ臥し給へり//こはいかに/かくてはおはしますぞ/と言へば/ほろほろと泣きて//わぬしが/制することを聞かず/いたくこの鹿を殺す//われ/鹿に代りて殺されなば/さりとも/少しはとどまりなん/と思へば/かくて射られんとしておるなり/口惜う/射ざりつ/とのたまふに/この男/伏しまろび/泣きて//かくまで思しけることを/あながちにし侍りけること/とて/そこにて刀を抜きて/弓うち切り/胡籙みな折り砕きて/髻切りて/やがて聖に具して/法師になりて/聖のおはしけるかぎり/聖に使はれて/聖失せ給ひければ/かはりて/また/そこにぞ行ひて居たりけるとなん/
008,旅人の宿求めけるに/大きやかなる家の/あばれたるがありけるによりて//ここに宿し給ひてんや/と言へば/女声にて//よきこと/宿り給へ/と言へば/みな下り居にけり/屋/大きなれども/人/ありげもなし/ただ/女一人ぞある気配しける/かくて/夜明けにければ/もの食ひしたためて/出でて行くを/この家にある女/出で来て//え出でおはせじ/留まり給へ/と言ふ//こはいかに/と問へば//おのれは/金千両負ひ給へり/そのわきまへしてこそ出で給はめ/と言へば/この旅人の従者ども笑ひて//あらじや/讒なんめり/と言へば/この旅人//しばし/と言ひて/また下り居て/皮子/乞ひよせて/幕/引きめぐらして/しばしばかりありて/この女を呼びければ/出で来にけり/旅人/問ふやうは//この親は/もし/易の占ひといふことやせられし/と問へば//いさや侍りけん/そのし給ふやうなることは/し給ひき/と言へば//さるなり/と言ひて//さても/何事にて/千両金負ひたる/そのわきまへせよ/とは言ふぞ/と問へば//おのれが親の失せ侍りし折に/世の中にあるべきほどの物など/得させ置きて申ししやう//今なん十年ありて/その月に/ここに旅人来て/宿らんとす/その人は/わが金を千両負ひたる人なり/それに/その金を乞ひて/堪へがたからん折は/売りて過ぎよ/と申しかば/今までは/親の得させて侍りし物を/少しづつも売り使ひて/今年となりては/売るべき物も侍らぬままに//いつしか/わが親の言ひし月日の/とく来かし/と待ち侍りつるに/今日にあたりて/おはして宿り給へれば//金負ひ給へる人なり/と思ひて申すなり/と言へば//金のことはまことなり/さることもあるらん/とて/女を片隅に引きて行きて/人にも知らせで/柱を叩かすれば/うつほなる音のする所を/くは/これが中にのたまふ金はあるぞ/開けて/すこしづつ取り出でて使ひ給へ/と教へて出でて去にけり/この女の親の/易の占の上手にて/この女のありさまを勘へけるに//いま十年ありて貧しくならんとす/その月日/易の占する男来て/宿らんずる/と勘へて///かかる金ある/と告げては/まだしきに取出でて/使ひ失ひては/貧しくならんほどに/使う物なくてまどひなん/と思ひて/しか言ひ教へて/死にける後にも/この家をも売り失なはずして/今日を待ちつけて/この人をかく責めければ/これも易の占する者にて/心を見て/占ひ出だして/教へて/出でて去にけるなりけり/易の卜は/行く末を掌の中のやうにさして/知ることにてありけるなり/
009,これも今は昔/高陽院造らるる間/宇治殿/御騎馬にて渡らせ給ふ間/倒れさせ給ひて/心地たがはせ給ふ/心誉僧正に祈られんとて/召しつかはすほどに/いまだ参らざるさきに/女房の局なる小女に/物つきて/申していはく//別のことにあらず/きと/目見入れ奉るによりて/かくおはしますなり/僧正/参られざる先に/護法/先立ちて参りて/追ひ払ひさぶらへば/逃げをはりぬ/とこそ申しけれ/すなはち/良くならせ給ひにけり/心誉僧正/いみじかりけるとか/
